# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
120           	smoothSolver	2.218650e-04	1.675740e-05	8	5.069960e-03	4.104840e-04	7	4.186350e-03	3.392390e-04	7	false	GAMG	2.207650e-03	8.834270e-06	4	true
121           	smoothSolver	2.157150e-04	2.156790e-05	7	4.964510e-03	4.026370e-04	7	4.109590e-03	3.300600e-04	7	false	GAMG	2.182210e-03	8.887230e-06	4	true
122           	smoothSolver	2.118720e-04	2.097550e-05	7	4.878100e-03	3.968210e-04	7	4.034970e-03	3.206250e-04	7	false	GAMG	2.143340e-03	8.968130e-06	4	true
123           	smoothSolver	2.090510e-04	2.060800e-05	7	4.801300e-03	3.952700e-04	7	3.976740e-03	3.163030e-04	7	false	GAMG	2.111690e-03	9.143590e-06	4	true
124           	smoothSolver	2.090040e-04	2.047750e-05	7	4.791910e-03	3.971040e-04	7	3.950040e-03	3.168960e-04	7	false	GAMG	2.082010e-03	9.170560e-06	4	true
125           	smoothSolver	2.094860e-04	2.046500e-05	7	4.811690e-03	4.030160e-04	7	3.949790e-03	3.205110e-04	7	false	GAMG	2.066900e-03	9.317040e-06	4	true
126           	smoothSolver	2.103410e-04	2.051940e-05	7	4.846900e-03	4.070510e-04	7	3.958950e-03	3.239770e-04	7	false	GAMG	2.058490e-03	9.285750e-06	4	true
127           	smoothSolver	2.088990e-04	2.051400e-05	7	4.866050e-03	4.065280e-04	7	3.951710e-03	3.232060e-04	7	false	GAMG	2.068080e-03	9.188460e-06	4	true
128           	smoothSolver	2.074000e-04	2.056400e-05	7	4.896670e-03	4.090990e-04	7	3.941830e-03	3.206150e-04	7	false	GAMG	2.072740e-03	8.905220e-06	4	true
129           	smoothSolver	2.059230e-04	1.561500e-05	8	4.894210e-03	4.122950e-04	7	3.903980e-03	3.164540e-04	7	false	GAMG	2.077090e-03	9.014770e-06	4	true
130           	smoothSolver	2.055320e-04	1.569070e-05	8	4.905880e-03	4.215990e-04	7	3.888330e-03	3.127390e-04	7	false	GAMG	2.067220e-03	9.193330e-06	4	true
131           	smoothSolver	2.058410e-04	1.584970e-05	8	4.907180e-03	4.267320e-04	7	3.864740e-03	3.127280e-04	7	false	GAMG	2.065300e-03	9.455900e-06	4	true
132           	smoothSolver	2.078760e-04	1.619770e-05	8	4.944640e-03	4.302200e-04	7	3.886730e-03	3.166540e-04	7	false	GAMG	2.070330e-03	9.575340e-06	4	true
133           	smoothSolver	2.095250e-04	1.643340e-05	8	4.948180e-03	4.321480e-04	7	3.920030e-03	3.244220e-04	7	false	GAMG	2.075940e-03	9.713800e-06	4	true
134           	smoothSolver	2.105170e-04	1.648200e-05	8	4.961200e-03	4.320950e-04	7	3.955480e-03	3.304200e-04	7	false	GAMG	2.070920e-03	9.553400e-06	4	true
135           	smoothSolver	2.105370e-04	1.643390e-05	8	4.908570e-03	4.239950e-04	7	3.968240e-03	3.340920e-04	7	false	GAMG	2.061280e-03	9.483960e-06	4	true
136           	smoothSolver	2.107680e-04	1.636340e-05	8	4.853310e-03	4.145700e-04	7	3.986920e-03	3.347510e-04	7	false	GAMG	2.036530e-03	9.295220e-06	4	true
137           	smoothSolver	2.092410e-04	1.625520e-05	8	4.764800e-03	4.050730e-04	7	3.973910e-03	3.316960e-04	7	false	GAMG	2.021620e-03	9.333000e-06	4	true
138           	smoothSolver	2.083710e-04	1.633700e-05	8	4.722150e-03	4.014700e-04	7	3.969570e-03	3.302550e-04	7	false	GAMG	2.008110e-03	9.287350e-06	4	true
139           	smoothSolver	2.083620e-04	1.646690e-05	8	4.702200e-03	3.995380e-04	7	3.977940e-03	3.313290e-04	7	false	GAMG	2.001890e-03	9.189910e-06	4	true
140           	smoothSolver	2.081750e-04	1.639700e-05	8	4.716670e-03	4.003650e-04	7	3.983110e-03	3.336400e-04	7	false	GAMG	1.989790e-03	9.083060e-06	4	true
141           	smoothSolver	2.066090e-04	1.611330e-05	8	4.711200e-03	3.998340e-04	7	3.968930e-03	3.365540e-04	7	false	GAMG	1.987030e-03	8.975440e-06	4	true
142           	smoothSolver	2.049670e-04	1.569990e-05	8	4.710000e-03	3.981610e-04	7	3.943720e-03	3.354710e-04	7	false	GAMG	1.983810e-03	8.801400e-06	4	true
143           	smoothSolver	2.025790e-04	2.012390e-05	7	4.677770e-03	3.908000e-04	7	3.911150e-03	3.295030e-04	7	false	GAMG	1.990810e-03	8.686310e-06	4	true
144           	smoothSolver	2.012160e-04	1.974880e-05	7	4.652700e-03	3.814340e-04	7	3.869680e-03	3.172240e-04	7	false	GAMG	1.996220e-03	8.632340e-06	4	true
145           	smoothSolver	1.994910e-04	1.958910e-05	7	4.611980e-03	3.742140e-04	7	3.829600e-03	3.054180e-04	7	false	GAMG	2.002900e-03	8.715260e-06	4	true
146           	smoothSolver	1.986570e-04	1.944300e-05	7	4.592550e-03	3.702000e-04	7	3.791820e-03	2.952030e-04	7	false	GAMG	2.002530e-03	8.611580e-06	4	true
147           	smoothSolver	1.973710e-04	1.926690e-05	7	4.583460e-03	3.704930e-04	7	3.758900e-03	2.913660e-04	7	false	GAMG	1.999510e-03	8.581060e-06	4	true
148           	smoothSolver	1.957990e-04	1.893440e-05	7	4.580670e-03	3.735580e-04	7	3.733240e-03	2.907050e-04	7	false	GAMG	1.980450e-03	8.507440e-06	4	true
